player_id,tournament_id,finish_numeric,true_pos,top_ten,mid_band,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1600,401353225,0.0,91.0,0,0,-0.89,-0.03,-1.0,0.22,-0.81,-1.7
3792,401353225,48.0,48.0,0,0,0.02,-0.65,1.18,-0.43,0.1,0.12
1042,401353225,0.0,91.0,0,0,0.5,-2.05,0.67,-2.31,-3.69,-3.2
10831,401353225,0.0,91.0,0,0,0.38,-2.24,-3.59,0.26,-5.57,-5.2
3980,401353225,0.0,91.0,0,0,-0.23,0.0,-0.61,0.14,-0.46,-0.7
5692,401353225,0.0,91.0,0,0,-1.46,1.4,-0.97,-0.17,0.26,-1.2
707,401353225,12.0,12.0,0,1,1.48,0.56,-0.43,0.26,0.39,1.87
5579,401353225,7.0,7.0,1,0,0.51,0.66,0.88,0.09,1.62,2.12
6825,401353225,35.0,35.0,0,0,0.34,-0.52,0.37,0.43,0.28,0.62
1548,401353225,0.0,91.0,0,0,-0.28,-0.77,-1.71,0.06,-2.42,-2.7
3702,401353225,57.0,57.0,0,0,0.28,0.78,-0.48,-0.96,-0.66,-0.38
4483,401353225,15.0,15.0,0,1,0.73,0.48,0.38,0.04,0.9,1.62
962,401353225,40.0,40.0,0,0,0.62,-0.87,-0.09,0.72,-0.25,0.37
377,401353225,52.0,52.0,0,0,0.09,0.6,-0.6,-0.22,-0.22,-0.13
5619,401353225,0.0,91.0,0,0,-0.91,-0.2,-0.01,-1.07,-1.29,-2.2
9938,401353225,1.0,1.0,1,0,1.26,0.18,0.97,0.71,1.86,3.12
78,401353225,0.0,91.0,0,0,0.24,-1.31,0.12,0.25,-0.94,-0.7
11382,401353225,15.0,15.0,0,1,-0.72,1.05,0.64,0.66,2.35,1.62
6937,401353225,0.0,91.0,0,0,0.1,-0.75,-1.18,0.63,-1.3,-1.2
10404,401353225,48.0,48.0,0,0,0.82,-0.5,-0.29,0.09,-0.7,0.12
1037,401353225,0.0,91.0,0,0,-2.22,-0.99,0.82,0.2,0.03,-2.2
7001,401353225,0.0,91.0,0,0,-0.81,-0.41,0.72,-0.19,0.11,-0.7
9478,401353225,2.0,2.0,1,0,0.14,0.58,1.37,1.03,2.98,3.12
3378,401353225,4.0,4.0,1,0,0.94,-0.15,1.94,-0.11,1.68,2.62
10980,401353225,57.0,57.0,0,0,-0.2,-0.05,0.0,-0.13,-0.17,-0.38
9569,401353225,15.0,15.0,0,1,0.84,0.59,0.36,-0.17,0.78,1.62
2230,401353225,4.0,4.0,1,0,0.77,0.01,1.23,0.62,1.85,2.62
5539,401353225,35.0,35.0,0,0,0.19,0.4,0.42,-0.38,0.43,0.62
9513,401353225,27.0,27.0,0,1,-0.08,0.78,0.65,-0.48,0.95,0.87
6086,401353225,0.0,91.0,0,0,0.36,-0.47,-0.98,-0.61,-2.06,-1.7
3970,401353225,57.0,57.0,0,0,1.0,-0.13,-0.99,-0.25,-1.37,-0.38
10664,401353225,0.0,91.0,0,0,-1.41,-0.87,-0.88,-0.04,-1.79,-3.2
9626,401353225,0.0,91.0,0,0,-1.3,-2.38,-1.58,1.05,-2.9,-4.2
11447,401353225,0.0,91.0,0,0,-0.24,-1.75,-2.03,-0.18,-3.96,-4.2
4364873,401353225,21.0,21.0,0,1,1.01,-0.6,0.23,0.73,0.36,1.37
4408315,401353225,0.0,91.0,0,0,-0.53,-0.18,-0.68,0.2,-0.67,-1.2
11119,401353225,0.0,91.0,0,0,0.01,1.35,-2.65,0.59,-0.71,-0.7
1614,401353225,27.0,27.0,0,1,-0.06,0.18,0.67,0.08,0.93,0.87
9877,401353225,0.0,91.0,0,0,-1.33,0.02,-1.56,1.68,0.13,-1.2
686,401353225,23.0,23.0,0,1,0.03,0.93,0.19,-0.03,1.09,1.12
9261,401353226,9.0,9.0,1,0,0.97,-0.22,1.15,0.68,1.61,2.58
11219,401353226,0.0,91.0,0,0,0.35,-1.7,0.21,-1.65,-3.13,-2.78
512,401353226,0.0,91.0,0,0,-0.51,0.22,-1.1,-1.39,-2.27,-2.78
5548,401353226,71.0,71.0,0,0,-0.01,0.4,-0.08,-0.98,-0.66,-0.67
4989,401353226,0.0,91.0,0,0,-2.6,0.21,1.36,0.75,2.32,-0.28
3832,401353226,0.0,91.0,0,0,1.22,-0.47,-0.38,-0.66,-1.5,-0.28
10372,401353226,41.0,41.0,0,0,1.15,-0.4,0.66,-0.34,-0.07,1.08
388,401353226,0.0,91.0,0,0,-1.01,-0.48,-0.11,0.81,0.23,-0.78
10577,401353226,23.0,23.0,0,1,1.22,-0.17,0.8,-0.02,0.61,1.83
4383,401353226,0.0,91.0,0,0,0.51,-0.21,-0.26,0.17,-0.29,0.22
1225,401353226,34.0,34.0,0,0,0.04,0.55,1.27,-0.53,1.29,1.33
1651,401353226,68.0,68.0,0,0,0.01,0.86,-0.62,-0.42,-0.18,-0.17
6011,401353226,69.0,69.0,0,0,0.96,-0.71,-0.83,0.15,-1.39,-0.42
6798,401353226,55.0,55.0,0,0,1.33,-0.22,-0.53,-0.25,-1.0,0.33
3596,401353226,9.0,9.0,1,0,-0.06,0.29,1.85,0.49,2.64,2.58
780,401353226,30.0,30.0,0,1,-0.34,0.29,1.24,0.39,1.91,1.58
4317,401353226,30.0,30.0,0,1,-0.15,0.35,1.12,0.26,1.73,1.58
9243,401353226,0.0,91.0,0,0,-0.39,-0.2,0.01,0.29,0.11,-0.28
