player_id,tournament_id,finish_numeric,true_pos,top_ten,mid_band,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,adj_pos
4645,401353226,41.0,41.0,0,0,0.92,-0.26,0.03,0.38,0.15,1.08,0.5194805194805194
4425906,401353226,3.0,3.0,1,0,0.53,0.39,0.65,1.75,2.8,3.33,0.025974025974025976
10054,401353226,48.0,48.0,0,0,1.28,0.27,0.01,-0.73,-0.46,0.83,0.6103896103896104
10058,401353226,13.0,13.0,0,1,-0.07,-0.47,1.61,1.26,2.4,2.33,0.15584415584415584
1483,401353226,55.0,55.0,0,0,-0.08,1.25,0.01,-0.84,0.41,0.33,0.7012987012987013
3550,401353226,34.0,34.0,0,0,0.87,-0.51,0.63,0.34,0.46,1.33,0.42857142857142855
5860,401353226,60.0,60.0,0,0,-0.04,0.14,-0.21,0.18,0.11,0.08,0.7662337662337663
6991,401353226,48.0,48.0,0,0,-1.27,1.22,0.97,-0.09,2.1,0.83,0.6103896103896104
1680,401353226,55.0,55.0,0,0,0.6,0.54,-0.93,0.13,-0.27,0.33,0.7012987012987013
5825,401353226,71.0,71.0,0,0,0.04,-0.5,0.49,-0.71,-0.72,-0.67,0.9090909090909091
3317,401353226,60.0,60.0,0,0,0.24,0.39,-1.03,0.49,-0.16,0.08,0.7662337662337663
11099,401353226,23.0,23.0,0,1,0.52,0.83,-0.35,0.84,1.31,1.83,0.2857142857142857
9780,401353226,48.0,48.0,0,0,-0.04,-0.63,-0.34,1.83,0.86,0.83,0.6103896103896104
569,401353226,13.0,13.0,0,1,1.06,0.2,1.29,-0.22,1.27,2.33,0.15584415584415584
5467,401353226,34.0,34.0,0,0,-0.81,0.39,0.99,0.76,2.14,1.33,0.42857142857142855
4848,401353226,1.0,1.0,1,0,1.58,0.81,0.53,0.66,2.0,3.58,0.0
4513,401353226,48.0,48.0,0,0,-0.35,0.31,0.14,0.74,1.18,0.83,0.6103896103896104
10363,401353226,69.0,69.0,0,0,0.01,-0.82,0.24,0.15,-0.43,-0.42,0.8831168831168831
7083,401353226,41.0,41.0,0,0,0.62,0.02,-0.03,0.47,0.46,1.08,0.5194805194805194
8906,401353226,34.0,34.0,0,0,0.43,-0.72,0.1,1.52,0.9,1.33,0.42857142857142855
318,401353226,23.0,23.0,0,1,0.88,1.13,0.8,-0.98,0.95,1.83,0.2857142857142857
1077,401353226,41.0,41.0,0,0,0.61,0.41,-0.2,0.26,0.47,1.08,0.5194805194805194
676,401353226,23.0,23.0,0,1,-0.28,-0.04,1.95,0.2,2.11,1.83,0.2857142857142857
5962,401353226,60.0,60.0,0,0,1.18,-0.54,-0.2,-0.36,-1.1,0.08,0.7662337662337663
10343,401353226,13.0,13.0,0,1,2.19,0.22,-0.23,0.14,0.14,2.33,0.15584415584415584
1059,401353226,41.0,41.0,0,0,0.74,-0.78,-0.67,1.79,0.34,1.08,0.5194805194805194
1293,401353226,60.0,60.0,0,0,-0.1,0.29,-0.05,-0.07,0.17,0.08,0.7662337662337663
9037,401353226,5.0,5.0,1,0,1.25,1.17,0.18,0.48,1.83,3.08,0.05194805194805195
8973,401353226,13.0,13.0,0,1,0.48,-0.07,1.73,0.18,1.85,2.33,0.15584415584415584
257,401353226,34.0,34.0,0,0,0.01,1.55,-0.24,0.01,1.32,1.33,0.42857142857142855
3351,401353226,34.0,34.0,0,0,0.88,-0.03,-0.21,0.7,0.45,1.33,0.42857142857142855
9530,401353226,75.0,75.0,0,0,0.72,-0.85,-0.65,-0.65,-2.14,-1.42,0.961038961038961
9931,401353226,3.0,3.0,1,0,1.37,0.21,1.52,0.22,1.96,3.33,0.025974025974025976
3980,401353226,75.0,75.0,0,0,0.7,-0.53,-0.54,-1.06,-2.12,-1.42,0.961038961038961
5579,401353226,34.0,34.0,0,0,0.08,0.64,1.29,-0.68,1.25,1.33,0.42857142857142855
3702,401353226,23.0,23.0,0,1,-0.46,1.42,0.4,0.47,2.28,1.83,0.2857142857142857
4251,401353226,54.0,54.0,0,0,-0.16,-0.7,1.42,0.03,0.74,0.58,0.6883116883116883
5409,401353226,60.0,60.0,0,0,-0.17,0.64,-0.07,-0.33,0.24,0.08,0.7662337662337663
4350033,401353226,60.0,60.0,0,0,0.9,-0.04,-0.45,-0.33,-0.82,0.08,0.7662337662337663
9938,401353226,20.0,20.0,0,1,1.28,-0.53,1.03,0.3,0.8,2.08,0.24675324675324675
78,401353226,23.0,23.0,0,1,0.28,-0.24,0.53,1.26,1.54,1.83,0.2857142857142857
7081,401353226,60.0,60.0,0,0,-1.41,0.92,1.27,-0.7,1.49,0.08,0.7662337662337663
4587,401353226,23.0,23.0,0,1,0.74,0.38,-0.1,0.8,1.08,1.83,0.2857142857142857
10404,401353226,55.0,55.0,0,0,-0.66,0.36,0.79,-0.16,0.99,0.33,0.7012987012987013
5057,401353226,71.0,71.0,0,0,-0.24,-0.45,0.32,-0.3,-0.43,-0.67,0.9090909090909091
6001,401353226,9.0,9.0,1,0,0.38,0.92,0.87,0.41,2.2,2.58,0.1038961038961039
8961,401353226,78.0,78.0,0,0,-0.74,-0.16,-1.02,-0.25,-1.43,-2.17,1.0
2230,401353226,30.0,30.0,0,1,0.17,0.55,0.55,0.31,1.41,1.58,0.37662337662337664
5539,401353226,5.0,5.0,1,0,0.91,0.66,1.18,0.33,2.17,3.08,0.05194805194805195
9513,401353226,20.0,20.0,0,1,0.07,0.73,0.79,0.49,2.01,2.08,0.24675324675324675
5553,401353226,13.0,13.0,0,1,0.88,0.41,0.9,0.14,1.45,2.33,0.15584415584415584
6086,401353226,9.0,9.0,1,0,1.16,0.3,1.96,-0.84,1.42,2.58,0.1038961038961039
3970,401353226,41.0,41.0,0,0,0.02,1.7,-0.4,-0.24,1.06,1.08,0.5194805194805194
9031,401353226,71.0,71.0,0,0,-0.2,-0.4,0.12,-0.19,-0.47,-0.67,0.9090909090909091
4364873,401353226,41.0,41.0,0,0,-0.05,0.1,0.67,0.36,1.12,1.08,0.5194805194805194
1614,401353226,20.0,20.0,0,1,0.51,0.38,0.65,0.54,1.56,2.08,0.24675324675324675
9877,401353226,2.0,2.0,1,0,1.16,0.63,1.28,0.5,2.41,3.58,0.012987012987012988
10140,401353226,13.0,13.0,0,1,0.36,0.15,0.99,0.82,1.97,2.33,0.15584415584415584
3832,401353227,12.0,12.0,0,1,0.63,0.14,0.57,0.69,1.41,2.03,0.13414634146341464
10906,401353227,46.0,46.0,0,0,0.49,-0.43,0.49,-0.02,0.04,0.53,0.5487804878048781
10372,401353227,79.0,79.0,0,0,0.08,-0.58,-0.59,-0.13,-1.3,-1.22,0.9512195121951219
388,401353227,32.0,32.0,0,0,0.23,0.26,-0.12,0.66,0.8,1.03,0.3780487804878049
9127,401353227,69.0,69.0,0,0,0.15,0.28,-0.14,-0.76,-0.62,-0.47,0.8292682926829268
10577,401353227,51.0,51.0,0,0,-0.88,0.34,0.62,0.21,1.16,0.28,0.6097560975609756
2283,401353227,15.0,15.0,0,1,1.8,0.74,-0.58,-0.17,-0.01,1.78,0.17073170731707318
4383,401353227,38.0,38.0,0,0,-0.11,0.73,0.05,0.12,0.9,0.78,0.45121951219512196
774,401353227,65.0,65.0,0,0,0.91,0.55,-0.68,-0.99,-1.12,-0.22,0.7804878048780488
6011,401353227,17.0,17.0,0,1,1.26,0.37,-0.67,0.58,0.28,1.53,0.1951219512195122
4355673,401353227,51.0,51.0,0,0,1.0,0.5,-1.06,-0.15,-0.72,0.28,0.6097560975609756
9243,401353227,12.0,12.0,0,1,2.03,-0.11,0.48,-0.37,0.0,2.03,0.13414634146341464
11098,401353227,38.0,38.0,0,0,-0.66,-0.71,0.96,1.19,1.44,0.78,0.45121951219512196
5704,401353227,69.0,69.0,0,0,-0.21,0.3,0.43,-0.98,-0.25,-0.47,0.8292682926829268
5532,401353227,38.0,38.0,0,0,-0.19,-0.03,1.03,-0.02,0.98,0.78,0.45121951219512196
1097,401353227,8.0,8.0,1,0,-0.08,1.12,0.7,0.8,2.61,2.53,0.08536585365853659
5167,401353227,69.0,69.0,0,0,0.14,-0.2,-0.38,-0.02,-0.61,-0.47,0.8292682926829268
3448,401353227,59.0,59.0,0,0,-0.92,-0.07,0.69,0.33,0.95,0.03,0.7073170731707317
6701,401353227,25.0,25.0,0,1,0.34,0.43,-0.06,0.58,0.94,1.28,0.2926829268292683
10058,401353227,9.0,9.0,1,0,0.77,0.19,0.92,0.4,1.51,2.28,0.0975609756097561
5882,401353227,46.0,46.0,0,0,0.53,0.2,0.01,-0.22,0.0,0.53,0.5487804878048781
1483,401353227,17.0,17.0,0,1,0.5,-0.49,0.95,0.57,1.03,1.53,0.1951219512195122
5860,401353227,3.0,3.0,1,0,0.42,-0.17,2.35,0.43,2.61,3.03,0.024390243902439025
619,401353227,59.0,59.0,0,0,1.27,0.1,-0.81,-0.53,-1.24,0.03,0.7073170731707317
5902,401353227,51.0,51.0,0,0,-0.28,0.86,-0.26,-0.04,0.56,0.28,0.6097560975609756
1680,401353227,51.0,51.0,0,0,0.96,0.38,-1.04,-0.01,-0.68,0.28,0.6097560975609756
5025,401353227,9.0,9.0,1,0,-0.64,-0.3,2.13,1.1,2.92,2.28,0.0975609756097561
4602673,401353227,17.0,17.0,0,1,-0.19,0.31,1.42,-0.01,1.72,1.53,0.1951219512195122
3317,401353227,17.0,17.0,0,1,0.25,-0.25,0.56,0.98,1.29,1.53,0.1951219512195122
11099,401353227,25.0,25.0,0,1,0.53,0.31,-0.61,1.05,0.76,1.28,0.2926829268292683
10166,401353227,38.0,38.0,0,0,-0.32,0.12,0.82,0.16,1.1,0.78,0.45121951219512196
5467,401353227,2.0,2.0,1,0,0.36,0.41,1.57,0.95,2.92,3.28,0.012195121951219513
4848,401353227,5.0,5.0,1,0,0.83,0.93,0.73,0.29,1.95,2.78,0.04878048780487805
1030,401353227,59.0,59.0,0,0,-0.64,0.3,-0.4,0.77,0.68,0.03,0.7073170731707317
5771,401353227,76.0,76.0,0,0,0.49,-0.64,-0.46,-0.36,-1.46,-0.97,0.9146341463414634
7083,401353227,1.0,1.0,1,0,0.97,0.68,1.31,0.57,2.56,3.53,0.0
8906,401353227,76.0,76.0,0,0,-0.1,0.43,-1.15,-0.15,-0.87,-0.97,0.9146341463414634
5962,401353227,51.0,51.0,0,0,0.23,-0.47,-0.03,0.56,0.05,0.28,0.6097560975609756
4859,401353227,73.0,73.0,0,0,-0.1,0.6,-1.33,0.12,-0.62,-0.72,0.8780487804878049
9143,401353227,32.0,32.0,0,0,0.07,-0.27,1.61,-0.38,0.96,1.03,0.3780487804878049
257,401353227,12.0,12.0,0,1,1.02,0.02,0.99,0.01,1.01,2.03,0.13414634146341464
3351,401353227,51.0,51.0,0,0,0.48,-0.15,0.42,-0.47,-0.2,0.28,0.6097560975609756
9530,401353227,32.0,32.0,0,0,0.85,0.34,-0.1,-0.06,0.18,1.03,0.3780487804878049
6954,401353227,51.0,51.0,0,0,-0.7,0.19,-0.15,0.94,0.99,0.28,0.6097560975609756
9931,401353227,17.0,17.0,0,1,-0.72,0.14,1.07,1.05,2.25,1.53,0.1951219512195122
5729,401353227,59.0,59.0,0,0,0.86,0.1,-0.52,-0.4,-0.83,0.03,0.7073170731707317
3688,401353227,25.0,25.0,0,1,2.47,-0.29,-0.25,-0.64,-1.18,1.28,0.2926829268292683
6151,401353227,76.0,76.0,0,0,-0.06,-0.05,-0.51,-0.34,-0.9,-0.97,0.9146341463414634
1600,401353227,17.0,17.0,0,1,0.16,0.52,0.66,0.2,1.38,1.53,0.1951219512195122
10831,401353227,65.0,65.0,0,0,-0.16,-0.99,0.41,0.52,-0.06,-0.22,0.7804878048780488
3980,401353227,83.0,83.0,0,0,-0.95,-0.34,-0.25,-0.42,-1.02,-1.97,1.0
5692,401353227,9.0,9.0,1,0,1.88,-0.02,0.47,-0.04,0.41,2.28,0.0975609756097561
707,401353227,38.0,38.0,0,0,-0.31,0.71,0.44,-0.06,1.09,0.78,0.45121951219512196
6825,401353227,32.0,32.0,0,0,0.57,-0.47,0.16,0.78,0.47,1.03,0.3780487804878049
1674,401353227,65.0,65.0,0,0,0.24,-0.42,-0.24,0.2,-0.46,-0.22,0.7804878048780488
962,401353227,5.0,5.0,1,0,1.11,0.1,0.57,1.0,1.68,2.78,0.04878048780487805
377,401353227,25.0,25.0,0,1,-0.58,0.79,1.1,-0.02,1.87,1.28,0.2926829268292683
6937,401353227,38.0,38.0,0,0,-0.79,0.6,1.15,-0.18,1.57,0.78,0.45121951219512196
10404,401353227,3.0,3.0,1,0,1.02,0.1,1.39,0.53,2.02,3.03,0.024390243902439025
6001,401353227,17.0,17.0,0,1,1.27,0.58,-0.22,-0.09,0.27,1.53,0.1951219512195122
10932,401353227,69.0,69.0,0,0,0.85,-0.87,-0.99,0.54,-1.32,-0.47,0.8292682926829268
9478,401353227,15.0,15.0,0,1,-0.4,0.49,1.41,0.29,2.18,1.78,0.17073170731707318
3378,401353227,25.0,25.0,0,1,0.61,-0.49,1.12,0.04,0.67,1.28,0.2926829268292683
8961,401353227,73.0,73.0,0,0,-0.17,0.18,-0.79,0.07,-0.55,-0.72,0.8780487804878049
10980,401353227,79.0,79.0,0,0,-1.46,0.66,-0.12,-0.3,0.24,-1.22,0.9512195121951219
9569,401353227,59.0,59.0,0,0,-0.64,-0.47,1.21,-0.08,0.67,0.03,0.7073170731707317
5539,401353227,59.0,59.0,0,0,-0.73,-0.66,0.52,0.91,0.77,0.03,0.7073170731707317
6086,401353227,17.0,17.0,0,1,0.21,1.0,0.5,-0.19,1.32,1.53,0.1951219512195122
10664,401353227,32.0,32.0,0,0,-0.48,0.49,0.33,0.7,1.52,1.03,0.3780487804878049
9626,401353227,32.0,32.0,0,0,-0.28,0.02,0.86,0.43,1.32,1.03,0.3780487804878049
1185,401353227,73.0,73.0,0,0,-0.17,-0.62,0.76,-0.68,-0.54,-0.72,0.8780487804878049
4408315,401353227,25.0,25.0,0,1,0.65,0.82,-0.02,-0.16,0.63,1.28,0.2926829268292683
10360,401353227,65.0,65.0,0,0,0.49,0.0,0.41,-1.11,-0.7,-0.22,0.7804878048780488
10140,401353227,5.0,5.0,1,0,0.33,0.61,1.16,0.68,2.45,2.78,0.04878048780487805
9261,401353228,56.0,56.0,0,0,-0.23,-0.29,-0.44,0.46,-0.27,-0.49,0.873015873015873
4989,401353228,6.0,6.0,1,0,0.69,0.72,0.37,0.72,1.81,2.51,0.07936507936507936
10372,401353228,9.0,9.0,1,0,0.53,0.46,0.95,0.32,1.74,2.26,0.12698412698412698
1225,401353228,9.0,9.0,1,0,0.05,0.21,1.25,0.75,2.21,2.26,0.12698412698412698
4638,401353228,51.0,51.0,0,0,-0.13,-0.25,-1.05,1.19,-0.11,-0.24,0.7936507936507936
3596,401353228,51.0,51.0,0,0,-0.57,-0.78,0.71,0.4,0.33,-0.24,0.7936507936507936
9126,401353228,21.0,21.0,0,1,0.6,0.06,-0.19,1.3,1.16,1.76,0.31746031746031744
6017,401353228,15.0,15.0,0,1,0.25,0.05,0.85,0.86,1.76,2.01,0.2222222222222222
769,401353228,15.0,15.0,0,1,0.2,1.03,0.96,-0.19,1.81,2.01,0.2222222222222222
8975,401353228,46.0,46.0,0,0,-0.69,0.31,0.68,-0.04,0.95,0.26,0.7142857142857143
1264,401353228,56.0,56.0,0,0,-0.89,-0.15,1.24,-0.69,0.4,-0.49,0.873015873015873
4425906,401353228,2.0,2.0,1,0,-0.58,0.78,1.54,1.52,3.84,3.26,0.015873015873015872
5167,401353228,46.0,46.0,0,0,-1.01,0.33,0.41,0.53,1.27,0.26,0.7142857142857143
5574,401353228,46.0,46.0,0,0,1.22,0.47,-0.9,-0.53,-0.96,0.26,0.7142857142857143
10054,401353228,25.0,25.0,0,1,1.64,0.68,-0.71,-0.1,-0.13,1.51,0.38095238095238093
4423323,401353228,62.0,62.0,0,0,0.02,-0.83,-0.91,0.23,-1.51,-1.49,0.9682539682539683
11387,401353228,41.0,41.0,0,0,0.47,0.03,0.59,-0.58,0.04,0.51,0.6349206349206349
5573,401353228,59.0,59.0,0,0,-0.38,1.09,-0.68,-0.76,-0.36,-0.74,0.9206349206349206
6196,401353228,51.0,51.0,0,0,-0.77,-0.41,1.25,-0.32,0.53,-0.24,0.7936507936507936
1680,401353228,15.0,15.0,0,1,-0.31,0.7,1.59,0.02,2.32,2.01,0.2222222222222222
5025,401353228,9.0,9.0,1,0,1.96,0.33,-0.22,0.19,0.3,2.26,0.12698412698412698
10505,401353228,9.0,9.0,1,0,0.09,0.7,0.75,0.72,2.17,2.26,0.12698412698412698
1030,401353228,15.0,15.0,0,1,0.61,0.33,2.51,-1.45,1.4,2.01,0.2222222222222222
4513,401353228,2.0,2.0,1,0,2.44,-0.59,0.25,1.17,0.82,3.26,0.015873015873015872
3857,401353228,62.0,62.0,0,0,0.17,-0.35,-0.9,-0.41,-1.66,-1.49,0.9682539682539683
10364,401353228,15.0,15.0,0,1,-0.56,-0.17,2.09,0.65,2.57,2.01,0.2222222222222222
6689,401353228,49.0,49.0,0,0,-0.18,0.74,-0.85,0.31,0.19,0.01,0.7619047619047619
7083,401353228,25.0,25.0,0,1,1.35,-0.39,0.55,0.0,0.16,1.51,0.38095238095238093
601,401353228,25.0,25.0,0,1,0.09,0.55,1.83,-0.97,1.42,1.51,0.38095238095238093
5962,401353228,6.0,6.0,1,0,0.27,-0.2,1.4,1.03,2.23,2.51,0.07936507936507936
1059,401353228,31.0,31.0,0,0,-0.54,-0.3,1.09,1.01,1.8,1.26,0.47619047619047616
9037,401353228,2.0,2.0,1,0,1.78,0.15,0.12,1.21,1.48,3.26,0.015873015873015872
4859,401353228,37.0,37.0,0,0,-0.39,0.53,-0.03,0.65,1.15,0.76,0.5714285714285714
8973,401353228,1.0,1.0,1,0,2.1,-0.87,1.06,1.47,1.66,3.76,0.0
6931,401353228,9.0,9.0,1,0,0.56,-0.04,1.08,0.65,1.7,2.26,0.12698412698412698
257,401353228,49.0,49.0,0,0,-0.3,0.58,0.4,-0.68,0.31,0.01,0.7619047619047619
2571,401353228,61.0,61.0,0,0,-0.61,-0.03,-0.59,0.24,-0.38,-0.99,0.9523809523809523
